0,1,2
4.999785214412039e-14,6.86080803091594e-05,3.2028874743533656e-05
5.2256487443175125e-14,6.866092742783553e-05,3.20535458000363e-05
5.4609602382281044e-14,6.871363652523103e-05,3.207815242297907e-05
5.706082953777622e-14,6.876620821065851e-05,3.210269489681434e-05
5.961392867148489e-14,6.881864308904186e-05,3.2127173503945714e-05
6.227279073708226e-14,6.887094176096013e-05,3.215158852474851e-05
6.504144199814305e-14,6.892310482269083e-05,3.2175940237590025e-05
6.792404826055853e-14,6.897513286625262e-05,3.220022891884943e-05
7.092491922207059e-14,6.902702647944762e-05,3.22244548429375e-05
7.404851294171441e-14,6.907878624590293e-05,3.2248618282316065e-05
7.729944043202933e-14,6.913041274511194e-05,3.2272719507517265e-05
8.068247037694239e-14,6.918190655247485e-05,3.229675878716243e-05
8.420253397829659e-14,6.923326823933887e-05,3.232073638798093e-05
8.78647299340414e-14,6.928449837303778e-05,3.234465257482856e-05
9.167432955117906e-14,6.933559751693106e-05,3.2368507610705896e-05
9.563678199660064e-14,6.93865662304426e-05,3.239230175677628e-05
9.975771968902365e-14,6.943740506909877e-05,3.241603527238367e-05
1.0404296383529135e-13,6.948811458456618e-05,3.2439708415070236e-05
1.0849853011436566e-13,6.953869532468887e-05,3.246332144059372e-05
1.131306345124041e-13,6.958914783352511e-05,3.2486874602944646e-05
1.1794569931237876e-13,6.963947265138364e-05,3.25103681543632e-05
1.2295035924175327e-13,6.968967031485968e-05,3.253380234535609e-05
1.2815146778181021e-13,6.973974135687023e-05,3.2557177424713004e-05
1.3355610364228092e-13,6.97896863066891e-05,3.258049363952295e-05
1.3917157740500555e-13,6.983950568998161e-05,3.26037512351905e-05
1.4500543834040323e-13,6.988920002883858e-05,3.2626950455451636e-05
1.510654814006242e-13,6.99387698418102e-05,3.265009154238956e-05
1.5735975439331659e-13,6.998821564393932e-05,3.267317473645027e-05
1.6389656534000351e-13,7.003753794679439e-05,3.269620027645788e-05
1.7068449002315553e-13,7.008673725850206e-05,3.2719168399629923e-05
1.7773237972610637e-13,7.013581408377926e-05,3.274207934159229e-05
1.8504936917004316e-13,7.018476892396502e-05,3.2764933336394045e-05
1.9264488465236144e-13,7.023360227705188e-05,3.278773061652219e-05
2.00528652390778e-13,7.028231463771694e-05,3.281047141291608e-05
2.0871070707765037e-13,7.033090649735239e-05,3.283315595498173e-05
2.1720140064903802e-13,7.037937834409596e-05,3.2855784470606024e-05
2.260114112731299e-13,7.042773066286075e-05,3.287835718617061e-05
2.351517525627211e-13,7.0475963935365e-05,3.2900874326565866e-05
2.446337830165387e-13,7.0524078640161e-05,3.292333611520433e-05
2.5446921569425257e-13,7.057207525266438e-05,3.294574277403447e-05
2.646701281301484e-13,7.061995424518238e-05,3.296809452355377e-05
2.7524897249046577e-13,7.066771608694222e-05,3.299039158282209e-05
2.8621858597953955e-13,7.071536124411904e-05,3.301263416947464e-05
2.975922014999529e-13,7.076289017986335e-05,3.3034822499734854e-05
3.093834585719718e-13,7.081030335432839e-05,3.305695678842712e-05
3.2160641451767747e-13,7.085760122469712e-05,3.3079037248989415e-05
3.3427555591525537e-13,7.090478424520876e-05,3.31010640934857e-05
3.474058103290039e-13,7.095185286718516e-05,3.312303753261822e-05
3.610125583207427e-13,7.099880753905695e-05,3.314495777573974e-05
